"species","habitat","habitat.names","trait1","trait2","trait3"
"Pomadasys_panamensis",0,"non-reef",-0.109725201,-0.221171872,0.041616978
"Pomadasys_macracanthus",0,"non-reef",0.12906821,-0.006984002,-0.043540345
"Anisotremus_moricandi",1,"reef",0.28532454,0.071222353,0.154658762
"Anisotremus_virginicus",1,"reef",0.606479057,0.186049096,0.233115054
"Anisotremus_caesius",1,"reef",0.485007064,0.076585754,0.083558511
"Anisotremus_surinamensis",1,"reef",0.344171939,0.192564145,0.202466201
"Anisotremus_interruptus",1,"reef",0.398981551,0.140826202,0.075628329
"Anisotremus_davidsonii",1,"reef",0.321166421,0.0469267,-0.068877488
"Anisotremus_scapularis",1,"reef",0.336551231,0.004573566,0.193729235
"Anisotremus_dovii",0,"non-reef",0.47849017,0.144583748,0.048764171
"Anisotremus_pacifici",0,"non-reef",0.469423943,0.095110873,0.065423394
"Haemulon_chrysargyreum",1,"reef",-0.360104396,0.011160383,-0.086648699
"Haemulon_parra",1,"reef",-0.045536441,0.169573638,0.007353682
"Haemulon_sexfasciatum",1,"reef",0.425692357,0.000969322,-0.038956957
"Haemulon_scudderi",1,"reef",0.479041015,0.04612039,-0.016578688
"Haemulon_scudderi_N.sp",1,"reef",0.483679703,0.159991976,0.03235961
"Haemulon_melanurum",1,"reef",-0.164187563,0.186422299,-0.157053859
"Haemulon_album",1,"reef",0.131694272,0.064558775,-0.026889318
"Haemulon_maculicauda",1,"reef",-0.116843701,0.14346246,-0.121320344
"Haemulon_flaviguttatum",1,"reef",-0.116439593,0.039198125,-0.049084346
"Haemulon_steindachneri_Atlantic",1,"reef",-0.060451781,0.111456363,-0.05121492
"Haemulon_steindachneri_Pacific",1,"reef",-0.123398484,-0.020422624,-0.02099266
"Haemulon_boschmae",1,"reef",-0.580027541,-0.158042136,-0.093550284
"Haemulon_carbonarium",1,"reef",0.100260647,0.144104704,0.003014892
"Haemulon_macrsotomum",1,"reef",0.243158193,-0.057830804,-0.057584406
"Haemulon_flavolineatum",1,"reef",-0.004094628,-0.006968597,-0.088703316
"Haemulon_plumieri",1,"reef",0.376979744,-0.060062611,-0.010300664
"Haemulon_sciurus",1,"reef",-0.077666748,0.136126886,-0.08233522
"Haemulon_striatum",1,"reef",-0.401491667,-0.030834025,-0.211368052
"Inermia_vittata",1,"reef",-0.554312532,-0.465165777,-0.094539947
"Haemulon_atlahua_N.sp",1,"reef",0.003742715,-0.129961238,-0.101166975
"Haemulon_aurolineatum",1,"reef",-0.206390443,0.020838592,-0.034006364
"Xenistius_californiensis",1,"reef",-0.480770608,-0.259661132,-0.003099424
"Pomadasys_branickii",0,"non-reef",-0.129977599,-0.211463239,-0.048518147
"Pomadasys_crocro",0,"non-reef",-0.453407347,-0.074453642,-0.043661673
"Haemulopsis_axillaris",0,"non-reef",0.026407615,-0.114018183,-0.016306779
"Haemulopsis_elongatus",0,"non-reef",-0.066904642,0.194907599,0.000905728
"Haemulopsis_leuciscus",0,"non-reef",-0.331543295,0.031051303,0.022559094
"Pomadasys_corvinaeformis",0,"non-reef",-0.234163458,0.134016734,-0.074990152
"Haemulopsis_nitidus",0,"non-reef",-0.115879656,0.173397281,-0.023698813
"Conodon_nobilis",0,"non-reef",-0.3945536,0.012684111,0.089617427
"Conodon_serrifer",0,"non-reef",-0.61777882,-0.074027079,0.058110376
"Xenichthys_xantii",0,"non-reef",-0.303567192,0.258264719,-0.324774954
"Orthopristis_chrysoptera",0,"non-reef",-0.062399648,0.169667096,-0.040183449
"Orthopristis_chalceus",0,"non-reef",-0.021969201,0.164076995,0.029042547
"Orthopristis_reddingi",0,"non-reef",0.020468637,0.069178666,-0.109655945
"Orthopristis_ruber",0,"non-reef",-0.093304095,0.241255379,0.051173285
"Isacia_conceptionis",1,"reef",-0.423977692,-0.222997377,-0.075546359
"Microlepidotus_brevipinnis",1,"reef",-0.478955925,0.030749538,-0.082904226
"Microlepidotus_inornatus",1,"reef",0.482032818,0.064579524,-0.076932802
